genre,company,year,title,count
f3796,Thriller,Fifth Avenue Entertainment,1992,Hellraiser III: Hell on Earth,160
f3797,Drama,Road Movies Filmproduktion,1993,Faraway So Close!,33
f3798,Comedy,Alta Vista Productions,1963,Beach Party,14
f3799,Music,American International Pictures (AIP),1964,Bikini Beach,10
f3800,Horror,Associated Producers (API),1959,Return of the Fly,33
f3801,Comedy,,1964,Pajama Party,7
f3802,Drama,,1984,Stranger Than Paradise,112
f3803,Drama,Twentieth Century Fox Film Corporation,1961,Voyage to the Bottom of the Sea,35
f3804,Adventure,Twentieth Century Fox Film Corporation,1966,Fantastic Voyage,108
f3805,Horror,Universal International Pictures (UI),1948,Abbott and Costello Meet Frankenstein,80
f3806,Comedy,Universal Studios,1940,The Bank Dick,28
f3807,Science Fiction,Universal International Pictures (UI),1954,Creature from the Black Lagoon,152
f3808,Horror,Hollywood Pictures Corporation (II),1959,The Giant Gila Monster,12
f3809,Science Fiction,Universal Pictures,1933,The Invisible Man,151
f3810,Horror,Hollywood Pictures Corporation,1959,The Killer Shrews,18
f3811,Science Fiction,Regal Films Inc.,1957,Kronos,8
f3812,Music,Universal Pictures,1943,Phantom of the Opera,30
f3813,Science Fiction,TriStar Pictures,1984,Runaway,42
f3814,Horror,Santa Fe Productions (I),1982,The Slumber Party Massacre,61
f3815,Comedy,,1987,Slumber Party Massacre II,30
f3816,Horror,,1990,Slumber Party Massacre III,20
f3817,Horror,Concorde Pictures,1986,Sorority House Massacre,22
f3818,Comedy,New Concorde,1990,Sorority House Massacre II,12
f3819,Drama,40 Acres & A Mule Filmworks,2000,Bamboozled,24
f3820,Music,,2000,Bootmen,7
f3821,Family,Saban Entertainment,2000,Digimon: The Movie,76
f3822,Drama,Franchise Pictures,2000,Get Carter,147
f3823,Thriller,Metro-Goldwyn-Mayer (MGM),1971,Get Carter,122
f3824,Comedy,Universal Pictures,2000,Meet the Parents,1743
f3825,Drama,Artisan Entertainment,2000,Requiem for a Dream,2525
f3826,War,KirchMedia,2000,Tigerland,155
f3827,Drama,,2000,Two Family House,5
f3828,Thriller,Battleplan Productions,2000,The Contender,61
f3829,Romance,Artisan Entertainment,2000,Dr. T and the Women,70
f3830,Drama,Camellia Productions,1999,Just Looking,5
f3831,Comedy,SNL Studios,2000,The Ladies Man,35
f3832,Thriller,New Line Cinema,2000,Lost Souls,38
f3833,Drama,,1971,Billy Jack,18
f3834,Drama,Billy Jack Enterprises,1977,Billy Jack Goes to Washington,5
f3835,Science Fiction,George Pal Productions,1960,The Time Machine,217
f3836,Mystery,October Films,1995,Haunted,43
f3837,Fantasy,Empire Pictures,1984,Ghoulies,58
f3838,Horror,Taryn Productions Inc.,1987,Ghoulies II,34
f3839,Comedy,Metro-Goldwyn-Mayer (MGM),1964,The Unsinkable Molly Brown,13
f3840,Family,Walt Disney Productions,1949,The Adventures of Ichabod and Mr. Toad,91
f3841,Drama,Paramount Pictures,1946,The Strange Love of Martha Ivers,24
f3842,Drama,Producers Releasing Corporation,1945,Detour,64
f3843,Music,BBC Films,2000,Billy Elliot,774
f3844,Romance,Twentieth Century Fox Film Corporation,2000,Bedazzled,526
f3845,Drama,Bel Air Entertainment,2000,Pay It Forward,447
f3846,Horror,Fulvia Film,1981,The Beyond,121
f3847,Comedy,,1980,The Private Eyes,16
f3848,Comedy,Golden Harvest Company Ltd.,1994,The Legend of Drunken Master,246
f3849,Mystery,Artisan Entertainment,2000,Book of Shadows: Blair Witch 2,216
f3850,Family,New Line Cinema,2000,The Little Vampire,79
f3851,Comedy,Paramount Pictures,2000,Lucky Numbers,53
f3852,Drama,,2000,Stardom,5
f3853,Action,Columbia Pictures,2000,Charlie's Angels,1253
f3854,Drama,Allied Filmmakers,2000,The Legend of Bagger Vance,259
f3855,Romance,Avery Pix,2000,Little Nicky,447
f3856,Drama,Fox 2000 Pictures,2000,Men of Honor,556
f3857,Thriller,Village Roadshow Pictures,2000,Red Planet,271
f3858,Comedy,Lions Gate Films,2000,What's Cooking?,7
f3859,Romance,Hart-Sharp Entertainment,2000,You Can Count on Me,89
f3860,Thriller,Eon Productions,1971,Diamonds Are Forever,562
f3861,Thriller,ITC Entertainment,1976,The Eagle Has Landed,77
f3862,Science Fiction,Phoenix Pictures,2000,The 6th Day,603
f3863,Romance,Miramax Films,2000,Bounce,120
f3864,Fantasy,Universal Pictures,2000,How the Grinch Stole Christmas,1440
f3865,Documentary,,1999,One Day in September,14
f3866,Adventure,Nickelodeon Movies,2000,Rugrats in Paris: The Movie,101
f3867,Family,Cruella Productions,2000,102 Dalmatians,327
f3868,Drama,Miramax Films,2000,Malena,301
f3869,Drama,Industry Entertainment,2000,Quills,129
f3870,Drama,Blinding Edge Pictures,2000,Unbreakable,1994
f3871,,Procirep,2000,Boys Life 3,3
f3872,Action,Sony Pictures Classics,2000,Crouching Tiger Hidden Dragon,949
f3873,Fantasy,Silver Pictures,2000,Dungeons & Dragons,159
f3874,Action,Warner Bros.,2000,Proof of Life,211
f3875,Action,Columbia Pictures Corporation,2000,Vertical Limit,287
f3876,History,Dino De Laurentiis Company,1984,The Bounty,109
f3877,Crime,Orion Pictures,1985,Code of Silence,44
f3878,Comedy,Paramount Pictures,1987,Planes Trains and Automobiles,567
f3879,Drama,Paramount Pictures,1988,She's Having a Baby,51
f3880,Drama,Canal+ France,1997,Secrets of the Heart,9
f3881,Adventure,Eon Productions,1987,The Living Daylights,447
f3882,Animation,Hasbro,1986,The Transformers: The Movie,134
f3883,Crime,Twentieth Century Fox Film Corporation,1987,Wall Street,557
f3884,War,Ixtlan,1989,Born on the Fourth of July,403
f3885,Drama,Ten-Four Productions,1988,Talk Radio,46
f3886,Comedy,Silver Pictures,1985,Brewster's Millions,144
f3887,Thriller,Screen Gems,2000,Snatch,2953
f3888,Drama,Columbia Pictures,1988,Punchline,41
f3889,Comedy,,2000,Mr Accident,2
f3890,Comedy,Fat Free,2000,Chocolat,979
f3891,Comedy,Alcon Entertainment,2000,Dude Where’s My Car?,523
f3892,Family,Walt Disney Pictures,2000,The Emperor's New Groove,1544
f3893,Romance,Fred Berner Films,2000,Pollock,91
f3894,Romance,Icon Entertainment International,2000,What Women Want,1021
f3895,Drama,Fountainbridge Films,2000,Finding Forrester,305
f3896,Horror,Lakeshore Entertainment,2000,The Gift,288
f3897,Drama,Grandview Pictures,2000,Before Night Falls,65
f3898,Drama,ImageMovers,2000,Cast Away,3304
f3899,Comedy,Universal Pictures,2000,The Family Man,530
f3900,Romance,Three Rivers Production,2000,The House of Mirth,25
f3901,Comedy,Castle Rock Entertainment,2000,Miss Congeniality,987
f3902,Crime,Fox Video Korea,1999,Nowhere to Hide,15
f3903,Adventure,Touchstone Pictures,2000,O Brother Where Art Thou?,1144
f3904,Music,Rigas Entertainment,2001,Songcatcher,9
f3905,Drama,El Dorado Pictures,2000,State and Main,55
f3906,Thriller,Dimension Films,2000,Dracula 2000,150
f3907,Drama,Columbia Pictures,2000,All the Pretty Horses,61
f3908,Crime,DreamWorks SKG,2000,An Everlasting Piece,1
f3909,Drama,New Line Cinema,2000,Thirteen Days,192
f3910,Crime,USA Films,2000,Traffic,573
f3911,Romance,DB Entertainment,2000,The Claim,17
f3912,Horror,Saturn Films,2000,Shadow of the Vampire,149
f3913,Thriller,Filmhaus,1987,House of Games,83
f3914,Drama,Metro-Goldwyn-Mayer (MGM),1989,Kill Me Again,21
f3915,Comedy,Columbia Pictures,1982,Annie,203
f3916,Family,Mercury,1991,Don't Tell Mom the Babysitter's Dead,108
f3917,Drama,Paramount Pictures,1982,An Officer and a Gentleman,219
f3918,Western,United Artists,1960,The Alamo,63
f3919,Drama,Orion Pictures,1986,At Close Range,67
f3920,Thriller,American International Pictures (AIP),1977,Breaker! Breaker!,20
f3921,Thriller,United Artists,1975,Breakheart Pass,35
f3922,Western,Allied Artists,1956,Friendly Persuasion,22
f3923,History,TriStar Television,1993,Gettysburg,91
f3924,Drama,Morgan Creek Productions,1994,Imaginary Crimes,3
f3925,Western,Elliott Kastner Productions,1975,Rancho Deluxe,7
f3926,Thriller,,2000,The St  Francisville Experiment,5
f3927,Crime,Industry Entertainment,2001,Antitrust,156
f3928,Comedy,Touchstone Pictures,2001,Double Take,24
f3929,Music,Cort/Madden Productions,2001,Save the Last Dance,359
f3930,Drama,,2000,Panic,27
f3931,Mystery,Pledge Productions,2001,The Pledge,221
f3932,,,2001,Kids World,3
f3933,Drama,,1998,The Personals,2
f3934,Drama,Fox Family Channel,2001,The Amati Girls,0
f3935,Romance,Orion Pictures,1992,Love Field,16
f3936,Drama,Metro-Goldwyn-Mayer (MGM),1991,The Man in the Moon,56
f3937,Romance,The Samuel Goldwyn Company,1988,Mystic Pizza,127
f3938,Comedy,Twentieth Century Fox Film Corporation,1992,Prelude to a Kiss,31
f3939,Drama,American International Pictures (AIP),1973,Coffy,58
f3940,Thriller,American International Pictures (AIP),1974,Foxy Brown,51
f3941,Comedy,Raymond Katz Production,1988,I'm Gonna Git You Sucka,62
f3942,Comedy,Metro-Goldwyn-Mayer (MGM),1993,Untamed Heart,49
f3943,Crime,New Line Cinema,2001,Sugar & Spice,60
f3944,Comedy,Dee Gee Entertainment,2001,The Wedding Planner,433
f3945,Comedy,,1997,Amy,7
f3946,,,2001,Dog Run,0
f3947,Romance,Sveriges Television (SVT),2000,Faithless,7
f3948,Drama,Nicolas Entertainment,2001,The Invisible Circus,14
f3949,Drama,,2000,The Legend of Rita,6
f3950,Animation,Les Films du Triangle,1999,A Monkey's Tale,7
f3951,Comedy,,2000,Two Ninas,1
f3952,Comedy,Canal+,2000,Harry He's Here To Help,47
f3953,Drama,TriStar Pictures,1987,Amazing Grace and Chuck,5
f3954,Science Fiction,Westward Productions,1987,Amazon Women on the Moon,37
f3955,Family,United Artists,1987,Baby Boom,70
f3956,Music,Paramount Pictures,1987,Back to the Beach,15
f3957,Romance,Golan-Globus Productions,1987,Barfly,80
f3958,Crime,Orion Pictures,1987,Best Seller,26
f3959,Action,Don Simpson/Jerry Bruckheimer Films,1987,Beverly Hills Cop II,627
f3960,Action,Eddie Murphy Productions,1984,Beverly Hills Cop,985
f3961,Mystery,Kings Road Entertainment,1986,The Big Easy,52
f3962,Action,,1987,Big Shots,3
f3963,Romance,Columbia Pictures Corporation,1987,The Big Town,9
f3964,Comedy,,1987,Born in East L.A.,32
f3965,Family,The Kushner-Locke Company,1987,The Brave Little Toaster,94
f3966,Family,Touchstone Pictures,1987,Can't Buy Me Love,167
f3967,Science Fiction,Orion Pictures,1987,Cherry 2000,67
f3968,Mystery,Atlantic Entertainment Group,1988,Cop,18
f3969,Comedy,Paramount Pictures,1987,Critical Condition,17
f3970,Drama,Universal Pictures,1987,Cry Freedom,52
f3971,Horror,P.T. Insantra Film,1987,Curse,1
f3972,Crime,Metro-Goldwyn-Mayer (MGM),1987,Dead of Winter,20
f3973,Drama,Liffey Films,1987,The Dead,34
f3974,Action,Balcor Film Investors,1987,Death Before Dishonor,2
f3975,Comedy,Warner Bros.,1987,Disorderlies,12
f3976,Drama,Ghost Pictures,1986,Dogs in Space,6
f3977,Comedy,Eddie Murphy Productions,1987,Eddie Murphy Raw,106
f3978,History,Amblin Entertainment,1987,Empire of the Sun,491
f3979,Comedy,Silver Screen Partners II,1987,Ernest Goes to Camp,40
f3980,Horror,Renaissance Pictures,1981,The Evil Dead,913
f3981,Action,TriStar Pictures,1987,Extreme Prejudice,20
f3982,Drama,Ego Film Arts,1987,Family Viewing,6
f3983,Drama,HandMade Films,1987,Five Corners,15
f3984,Drama,Fries Entertainment Films,1987,Flowers in the Attic,60
f3985,Action,The Rank Organisation,1987,The Fourth Protocol,49
f3986,History,TriStar Pictures,1987,Gardens of Stone,25
f3987,Fantasy,,1987,Julia and Julia,5
f3988,Drama,,1987,The Glass Menagerie,9
f3989,Romance,Filmtre,1987,Good Morning Babylon,5
f3990,Drama,,1987,Hiding Out,14
f3991,Comedy,,1987,Hollywood Shuffle,20
f3992,War,Columbia Pictures,1987,Hope and Glory,44
f3993,Comedy,RKO Pictures,1987,Hot Pursuit,21
f3994,Drama,Columbia Pictures Corporation,1987,Housekeeping,11
f3995,Comedy,Crown International Pictures,1987,Hunk,2
f3996,Comedy,Warner Bros.,1987,Innerspace,336
f3997,Drama,Home Box Office (HBO),1987,Ironweed,30
f3998,Action,Columbia Pictures,1987,Ishtar,29
f3999,Thriller,Universal Pictures,1987,Jaws: The Revenge,227
f4000,Action,Columbia Pictures,1987,Leonard Part 6,27
f4001,Crime,Amercent Films,1987,Less Than Zero,77
f4002,Fantasy,TriStar Pictures,1987,Like Father Like Son,39
f4003,Comedy,Warner Bros.,1987,The Lost Boys,545
f4004,Comedy,Lorimar Motion Pictures,1987,Made in Heaven,16
f4005,Fantasy,Vista Organization,1987,Maid to Order,17
f4006,Comedy,Barry & Enright Productions,1987,Making Mr. Right,8
f4007,Fantasy,Gladden Entertainment,1987,Mannequin,130
f4008,Fantasy,Golan-Globus Productions,1987,Masters of the Universe,196
f4009,Comedy,,1987,Million Dollar Mystery,1
f4010,Science Fiction,TAFT Entertainment Pictures,1987,The Monster Squad,146
f4011,History,Channel Four Films,1987,A Month in the Country,10
f4012,Comedy,Kings Road Entertainment,1987,Morgan Stewart's Coming Home,8
f4013,Horror,New Life Cinema,1987,My Demon Lover,5
f4014,Action,,1987,No Man's Land,28
f4015,Romance,,1987,North Shore,13
f4016,Romance,Universal Studios,2001,Head Over Heels,73
f4017,Thriller,Cloud Ten Pictures,2000,Left Behind,41
f4018,Thriller,NPV Entertainment,2001,Valentine,114
f4019,Drama,Jet Tone Production,2000,In the Mood for Love,379
f4020,Thriller,,1999,Fever,1
f4021,Drama,Kintop Pictures,2000,The Million Dollar Hotel,76
f4022,Romance,Canal+ España,2000,Nico and Dani,24
f4023,Horror,Metro-Goldwyn-Mayer (MGM),2001,Hannibal,1296
f4024,Comedy,Columbia Pictures Corporation,2001,Saving Silverman,155
f4025,Drama,Goatworks Films,2001,Signs & Wonders,1
f4026,Romance,Les Films A4,2000,The Taste of Others,48
f4027,History,Canal Plus,2000,Vatel,32
f4028,Romance,Paramount Pictures,2001,Down to Earth,98
f4029,Comedy,Walt Disney Television Animation,2001,Recess: School's Out,68
f4030,Drama,Bel Air Entertainment,2001,Sweet November,292
f4031,Comedy,,2000,Company Man,9
f4032,Drama,,2000,The Price of Milk,9
f4033,Fantasy,Twentieth Century Fox Film Corporation,2001,Monkeybone,79
f4034,Crime,Warner Bros.,2001,3000 Miles to Graceland,181
f4035,Romance,Epithete films,2000,The Widow of Saint-Pierre,11
f4036,Crime,Lawrence Bender Productions,2001,The Mexican,453
f4037,Family,Robert Simonds Productions,2001,See Spot Run,44
f4038,Drama,,2001,Carman: The Champion,3
f4039,Mystery,Franchise Pictures,2001,The Caveman's Valentine,27
f4040,Comedy,Columbia TriStar Filmes do Brasil,2000,Me You Them,14
f4041,Comedy,Blow Up Pictures,2001,Series 7: The Contenders,16
f4042,Action,New Line Cinema,2001,15 Minutes,194
f4043,Romance,Miramax,2001,Get Over It,76
f4044,Comedy,Intermedia Films,2001,Blow Dry,39
f4045,,,1999,Hit and Runway,0
f4046,Documentary,,2000,Long Night's Journey Into Day,2
f4047,,,1999,Simon Magus,1
f4048,,,2000,When Brendan Met Trudy,0
f4049,Drama,TriStar Pictures,1990,Avalon,19
f4050,Comedy,,1996,Gray's Anatomy,7
f4051,Drama,Kurosawa Production Co.,1993,Madadayo,21
f4052,Thriller,G.W. Films,1980,The Mirror Crack'd,43
f4053,Drama,United Artists,1939,Of Mice and Men,19
f4054,Drama,Embrafilme,1981,Pixote,24
f4055,Action,International Cinevision Productions,1986,Reform School Girls,10
f4056,Drama,Peter McCarthy / Front Films,1988,Tapeheads,17
f4057,Romance,Planet Productions,1985,Tuff Turf,24
f4058,Comedy,Action Features,1989,The Unbelievable Truth,18
f4059,Drama,Samuel Goldwyn Company The,1947,The Bishop's Wife,49
f4060,Documentary,Metro-Goldwyn-Mayer (MGM),1970,Elvis That's the Way It Is,11
f4061,Romance,Phalanx-Jaelem,1966,The Fortune Cookie,46
f4062,Comedy,Rainbow Productions,1963,Lilies of the Field,29
f4063,Music,Samuel Goldwyn Company The,1952,Hans Christian Andersen,18
f4064,Drama,George Stevens Productions,1965,The Greatest Story Ever Told,41
f4065,Drama,United Artists,1960,Elmer Gantry,41
f4066,Drama,Paramount Pictures,1966,Alfie,65
f4067,Drama,Twentieth Century Fox Film Corporation,1954,Demetrius and the Gladiators,12
f4068,Drama,Radmin Company The,1995,The Fantasticks,8
f4069,Drama,The Archers,1945,I Know Where I'm Going!,23
f4070,Comedy,American International Pictures (AIP),1971,The Abominable Dr. Phibes,79
f4071,Drama,,1965,Die Monster Die!,16
f4072,Comedy,Paramount Pictures,1979,Real Life,13
f4073,Science Fiction,New World Pictures,1980,Battle Beyond the Stars,42
f4074,Drama,Cannon Films,1990,Death Warrant,117
f4075,Thriller,Stone Group Pictures,1991,Double Impact,219
f4076,Comedy,United Artists,1978,The End,15
f4077,Comedy,Filmways Pictures,1972,Fuzz,6
f4078,Thriller,Metro-Goldwyn-Mayer (MGM),1991,Harley Davidson and the Marlboro Man,86
f4079,Comedy,Tijuana Productions,1983,Losin' It,31
f4080,Romance,Orion Pictures,1990,Mermaids,124
f4081,Thriller,Metro-Goldwyn-Mayer (MGM),1989,The Mighty Quinn,25
f4082,Comedy,,1997,Unmade Beds,1
f4083,Drama,District,2000,Rated X,20
f4084,Crime,Red Dragon Productions S.A.,1986,Manhunter,340
f4085,Drama,Shochiku-Fuji Company,1990,Reversal of Fortune,59
f4086,Mystery,EMI Films Ltd.,1978,Death on the Nile,121
f4087,Science Fiction,Carolco Pictures,1989,DeepStar Six,56
f4088,Comedy,Zacharias-Buhai Productions,1984,Revenge of the Nerds,204
f4089,Comedy,American Entertainment Partners L.P.,1987,Revenge of the Nerds II: Nerds in Paradise,71
f4090,Drama,The Samuel Goldwyn Company,1990,Longtime Companion,16
f4091,Documentary,40 Acres & A Mule Filmworks,1997,4 Little Girls,12
f4092,Crime,Island,1986,River's Edge,59
f4093,Music,New World Pictures,1985,Girls Just Want to Have Fun,40
f4094,Drama,Paramount Pictures,1974,The Longest Yard,71
f4095,Comedy,Paramount Pictures,1991,Necessary Roughness,28
f4096,Horror,New World Pictures,1984,C.H.U.D.,62
f4097,War,Mandalay Pictures,2001,Enemy at the Gates,1023
f4098,Crime,Warner Bros.,2001,Exit Wounds,111
f4099,Drama,Working Dog,2000,The Dish,62
f4100,Thriller,Newmarket Capital Group,2000,Memento,4168
f4101,Romance,,2001,The Brothers,11
f4102,Crime,Metro-Goldwyn-Mayer (MGM),2001,Heartbreakers,256
f4103,Romance,Say It Isn't So Productions,2001,Say It Isn't So,47
f4104,,,1997,Too Much Sleep,0
f4105,Romance,Lynda Obst Productions,2001,Someone Like You...,119
f4106,Action,Miramax,2001,Spy Kids,893
f4107,Romance,Columbia Pictures,2001,Tomcats,75
f4108,Drama,Columbia Pictures,2001,The Tailor of Panama,97
f4109,Thriller,Zeta Film,2000,Amores perros,537
f4110,Documentary,,2000,Keep the River on Your Right: A Modern Cannibal Tale,3
f4111,Documentary,Ciné Tamaris,2000,The Gleaners & I,19
f4112,Action,AZL Productions KG,2001,Along Came a Spider,408
f4113,Drama,New Line Cinema,2001,Blow,1352
f4114,Fantasy,Bruin Grip Services,2001,Just Visiting,173
f4115,Family,Nintendo,2000,Pokémon: Spell of the Unknown,143
f4116,Crime,Snakeman Productions,2000,Beautiful Creatures,25
f4117,Crime,Main Street Movie Company,2001,Brigham City,4
f4118,Foreign,Makhmalbaf Productions,2000,The Day I Became a Woman,6
f4119,Foreign,,2000,Shadow Magic,1
f4120,Drama,Studio Canal,2001,Bridget Jones's Diary,1397
f4121,Adventure,Columbia Pictures,2001,Joe Dirt,247
f4122,Music,Marc Platt Productions,2001,Josie and the Pussycats,73
f4123,Comedy,,2011,Kingdom Come,1
f4124,Thriller,Avalanche Films,2001,The Body,35
f4125,Crime,Pariah Entertainment Group,2000,Chopper,111
f4126,Drama,Jafar Panahi Film Productions,2000,The Circle,17
f4127,,,2000,Lakeboat,2
f4128,Comedy,Bungalow Productions,2001,Crocodile Dundee in Los Angeles,149
f4129,Comedy,MBST/Lloyd Productions,2001,Freddy Got Fingered,117
f4130,Romance,Redeemable Features,2001,The Center of the World,14
f4131,Romance,,2001,The Girl,0
f4132,Romance,British Screen Productions,2001,The Low Down,0
f4133,Drama,,2000,The Luzhin Defence,15
f4134,Drama,,2000,The Visit,0
f4135,Drama,Turbulent Arts,1996,Lilies,14
f4136,Action,Universal Pictures,1983,Scarface,3017
f4137,Romance,Jalem Productions,1962,Days of Wine and Roses,39
f4138,Action,Epsilon Motion Pictures,2001,Driven,180
f4139,Action,Screen Gems,2001,The Forsaken,47
f4140,Action,USA Films,2001,One Night at McCool's,92
f4141,Comedy,New Line Cinema,2001,Town & Country,18
f4142,Drama,Ruby Films,2001,Rat,3
f4143,Fantasy,Alphaville Films,2001,The Mummy Returns,2258
f4144,Drama,Imagica Corp.,2000,Eureka,19
f4145,Science Fiction,Filmboard Berlin-Brandenburg (FBB),1999,Tuvalu,9
f4146,Mystery,Fidélité Productions,2000,Under the Sand,31
f4147,History,MCL Films S.A.,1963,Cleopatra,148
f4148,Adventure,Columbia Pictures Corporation,1983,Krull,130
f4149,Comedy,The Geffen Company,1985,Lost in America,29
f4150,Drama,First National Bank of Chicago (London Branch),1925,The Lost World,27
f4151,Documentary,,1935,Triumph of the Will,62
f4152,Crime,Columbia Pictures,1989,True Believer,25
f4153,Comedy,Warner Bros.,1982,The World According to Garp,87
f4154,Adventure,American Broadcasting Company (ABC),1968,Candy,12
f4155,Fantasy,Produzioni Europee Associati (PEA),1969,Fellini Satyricon,64
f4156,Drama,Ultra Film,1972,Roma,45
f4157,Drama,,1966,Frankie and Johnny,9
f4158,Comedy,Paramount Pictures,1991,Frankie and Johnny,115
f4159,Comedy,PolyGram Filmed Entertainment,1993,A Home of Our Own,14
f4160,Romance,George Axelrod Productions,1964,Paris When It Sizzles,44
f4161,Romance,Degeto Film,1999,Pola X,14
f4162,Drama,,1980,City of Women,28
f4163,Drama,All Girl Productions,1991,For the Boys,20
f4164,Comedy,Twentieth Century Fox Film Corporation,1980,Nine to Five,102
f4165,Drama,Twentieth Century Fox Film Corporation,1979,Norma Rae,31
f4166,Comedy,Paramount Pictures,1985,Summer Rental,44
f4167,Fantasy,Columbia Pictures Corporation,1953,The 5000 Fingers of Dr. T.,12
f4168,Romance,,1990,Catchfire,16
f4169,Drama,Paramount Pictures,1970,Love Story,123
f4170,Drama,Svensk Filmindustri (SF),1987,Pelle the Conqueror,32
f4171,Drama,Indusfilms,1955,Rififi,90
f4172,Drama,Black and Blu Entertainment,2001,A Knight's Tale,933
f4173,Drama,Parallax Pictures,2000,Bread and Roses,14
f4174,Documentary,,2000,Calle 54,6
f4175,Drama,Newmarket Capital Group,2000,The King Is Alive,9
f4176,Comedy,Davis Entertainment Classics,2001,Sordid Lives,14
f4177,Documentary,,2001,Startup.com,7
f4178,Drama,AE Two Film Productions,2001,Angel Eyes,91
f4179,Adventure,DreamWorks Animation,2001,Shrek,4183
f4180,Romance,,2000,Fast Food Fast Women,8
f4181,Drama,Twentieth Century Fox Film Corporation,2001,Moulin Rouge!,1348
f4182,Foreign,,1999,Little Brothers,4
f4183,War,Touchstone Pictures,2001,Pearl Harbor,1833
f4184,Thriller,,1998,Bloody Angels,2
f4185,Adventure,Les Productions de la Guéville,1999,Himalaya,18
f4186,Romance,,2000,The Man Who Cried,57
f4187,Drama,Journeyman Pictures,2000,Our Song,7
f4188,,,2001,Gabriela,0
f4189,Drama,Columbia Pictures Corporation,1978,Ice Castles,15
f4190,Comedy,Penta Pictures,1992,Love Potion No. 9,67
f4191,Comedy,Columbia Pictures,1990,Postcards from the Edge,53
f4192,Action,Hecht-Lancaster Productions,1954,Apache,23
f4193,Western,United Artists,1976,Buffalo Bill and the Indians or Sitting Bull's History Lesson,20
f4194,Action,Castle Rock Entertainment,1991,City Slickers,232
f4195,History,Orion Pictures,1988,Eight Men Out,63
f4196,War,United Artists,1959,The Horse Soldiers,40
f4197,Action,Hecht-Lancaster Productions,1955,The Kentuckian,9
f4198,Drama,Nepi Film,1961,La Notte,72
f4199,Crime,Orion Pictures,1988,Mississippi Burning,336
f4200,Western,Alpha Productions,1960,The Magnificent Seven,472
f4201,Western,The Mirisch Production Company,1966,Return of the Seven,35
f4202,Western,Warner Bros.,1959,Rio Bravo,265
f4203,History,Paramount Pictures,1934,The Scarlet Empress,23
f4204,Drama,United Artists,1977,Semi-Tough,11
f4205,Drama,TriStar Pictures,1987,Suspect,45
f4206,Crime,Orion Pictures,1987,Throw Momma from the Train,147
f4207,Drama,AtomFilms,2000,Yi Yi,98
f4208,Comedy,Walt Disney Productions,1980,Midnight Madness,14
f4209,Horror,Thura Film,1994,Nightwatch,51
f4210,Drama,Solar Productions,1966,The Sand Pebbles,59
f4211,War,Twentieth Century Fox Film Corporation,1949,Twelve O'Clock High,31
f4212,History,P-R Productions Picture,1965,Von Ryan's Express,57
f4213,Action,Revolution Studios,2001,The Animal,310
f4214,Action,Metro-Goldwyn-Mayer (MGM),2001,What's the Worst That Could Happen?,67
f4215,Drama,Chaiken Films,2000,Big Eden,13
f4216,Science Fiction,Montecito Picture Company The,2001,Evolution,650
f4217,Crime,Silver Pictures,2001,Swordfish,946
f4218,Drama,Pas de Quoi,2001,The Anniversary Party,27
f4219,Music,,2001,Bride of the Wind,0
f4220,War,Ceská Televize,2000,Divided We Fall,11
f4221,Comedy,Intermedia Films,2000,Whatever Happened to Harold Smith?,8
f4222,Drama,Paramount Pictures,1970,Catch-22,73
f4223,Comedy,New Zealand Film Commission,1995,Forgotten Silver,31
f4224,Crime,20th Century Fox,1991,Point Break,861
f4225,Drama,Palace Pictures,1989,Shag,14
f4226,Drama,Paramount Pictures,1983,Uncommon Valor,54
f4227,Thriller,20th Century Fox,1992,Unlawful Entry,63
f4228,Drama,The Guber-Peters Company,1986,Youngblood,50
f4229,Comedy,Twentieth Century Fox Film Corporation,1953,Gentlemen Prefer Blondes,169
f4230,Comedy,Twentieth Century Fox Film Corporation,1953,How to Marry a Millionaire,117
f4231,Horror,William Castle Productions,1958,Macabre,7
f4232,Comedy,Twentieth Century Fox Film Corporation,1955,The Seven Year Itch,184
f4233,Drama,Twentieth Century Fox Film Corporation,1954,There's No Business Like Show Business,28
f4234,Romance,Mirage Enterprises,1982,Tootsie,429
f4235,Drama,Republic Entertainment International,1985,The Boys Next Door,14
f4236,Drama,ABC Pictures,1970,Too Late the Hero,20
f4237,,TLA Releasing,1998,The Trio,1
f4238,Romance,,2001,Pavilion of Women,6
f4239,Family,Walt Disney Pictures,2001,Atlantis: The Lost Empire,1257
f4240,Action,Mutual Film Company,2001,Lara Croft: Tomb Raider,2235
f4241,Family,Davis Entertainment,2001,Dr. Dolittle 2,422
f4242,Thriller,Original Film,2001,The Fast and the Furious,3485
f4243,Drama,Stanley Kubrick Productions,2001,A.I. Artificial Intelligence,2011
f4244,Crime,New Deal Productions,2001,Baby Boy,57
f4245,Drama,Ufland,2001,Crazy/Beautiful,98
f4246,Comedy,,2001,Pootie Tang,43
f4247,Comedy,,1999,Snow days,1
f4248,Comedy,La Sofica Gimages 2,2000,Funny Felix,7
f4249,Music,,2001,Down from the Mountain,1
f4250,Drama,Beyond Films,2001,Russian Doll,0
f4251,Thriller,Kanzaman,2000,Sexy Beast,219
f4252,Comedy,,2000,South of Heaven West of Hell,2
f4253,Romance,X-Filme Creative Pool,2000,The Princess and the Warrior,33
f4254,Comedy,EFVE,2001,The Closet,111
f4255,Documentary,National Wildlife Federation,1999,Wolves,1
